LineNo.,EventNo.,PID,State,Parent1,Parent2,CF,ACF,Px,Py,Pz,E,M,cTau,SpinProj
58596,9706,-11,1,1,0,0,0,+3.5131511813e+01,-1.9559643951e+01,+3.4566358067e-02,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58597,9706,12,1,1,0,0,0,-3.5131511813e+01,+1.9559643951e+01,-3.4566358067e-02,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58601,9707,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58602,9707,-11,1,1,0,0,0,-2.9586296744e+01,+2.0508636587e+01,-1.7912310262e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58603,9707,12,1,1,0,0,0,+2.9586296744e+01,-2.0508636587e+01,+1.7912310262e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58607,9708,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58608,9708,-11,1,1,0,0,0,+3.4912571390e+01,+5.7845092468e+00,+1.9090725504e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58609,9708,12,1,1,0,0,0,-3.4912571390e+01,-5.7845092468e+00,-1.9090725504e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58613,9709,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58614,9709,-11,1,1,0,0,0,+3.8016417399e+01,-1.0279462777e+01,+8.1171818830e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58615,9709,12,1,1,0,0,0,-3.8016417399e+01,+1.0279462777e+01,-8.1171818830e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58619,9710,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58620,9710,13,1,1,0,0,0,-1.5110145159e+01,+2.3621113524e+01,-2.8818926034e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58621,9710,-14,1,1,0,0,0,+1.5110145159e+01,-2.3621113524e+01,+2.8818926034e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58625,9711,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58626,9711,13,1,1,0,0,0,-3.3027157833e+01,-2.2342867836e+01,+5.1775564657e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58627,9711,-14,1,1,0,0,0,+3.3027157833e+01,+2.2342867836e+01,-5.1775564657e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58631,9712,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58632,9712,-13,1,1,0,0,0,-2.1572586117e+01,+2.3313197286e+01,-2.4656081382e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58633,9712,14,1,1,0,0,0,+2.1572586117e+01,-2.3313197286e+01,+2.4656081382e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58637,9713,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,1.0000e+00
58638,9713,-13,1,1,0,0,0,-2.2579865164e+01,+2.0869634047e+01,+2.5911620029e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58639,9713,14,1,1,0,0,0,+2.2579865164e+01,-2.0869634047e+01,-2.5911620029e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58643,9714,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58644,9714,13,1,1,0,0,0,-2.5307974740e+01,+3.0694399941e+01,+5.8450162887e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58645,9714,-14,1,1,0,0,0,+2.5307974740e+01,-3.0694399941e+01,-5.8450162887e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58649,9715,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,-1.0000e+00
58650,9715,-13,1,1,0,0,0,-3.9329956443e+01,+3.3320882760e+00,-7.6717470322e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58651,9715,14,1,1,0,0,0,+3.9329956443e+01,-3.3320882760e+00,+7.6717470322e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58655,9716,-24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58656,9716,13,1,1,0,0,0,-1.2367413040e+01,+1.7207432407e+01,+3.4172435577e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58657,9716,-14,1,1,0,0,0,+1.2367413040e+01,-1.7207432407e+01,-3.4172435577e+01,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58661,9717,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58662,9717,-11,1,1,0,0,0,-1.1588413983e+01,+3.8435573917e+01,+2.2845804063e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
58663,9717,12,1,1,0,0,0,+1.1588413983e+01,-3.8435573917e+01,-2.2845804063e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,-1.0000e+00
58667,9718,24,-1,0,0,0,0,+0.0000000000e+00,+0.0000000000e+00,+9.9999998245e-15,8.0419002446e+01,8.0419002446e+01,0.0000e+00,0.0000e+00
58668,9718,-13,1,1,0,0,0,-1.9839876037e+01,+3.4833418260e+01,+3.1330942802e+00,4.0209501223e+01,0.0000000000e+00,0.0000e+00,1.0000e+00
